"T, K","σ_T, K",ε_T,"W, W","σ_W, W","σ = W/(ε S T^4), W·m^-2·K^-4","σ(σ), W·m^-2·K^-4","h, J·s","σ(h), J·s"
1957.6,15.2,0.232,4.249,0.01,3.464603655721003e-08,1.0825277451629086e-09,7.808640373453747e-34,8.132791603550014e-36
1991.7,15.4,0.236,4.559,0.01,3.407851300974735e-08,1.05783660980834e-09,7.85174878839441e-34,8.124246615461368e-36
2015.1,15.5,0.239,5.055,0.011,3.563326624293268e-08,1.101118932755846e-09,7.735850426856588e-34,7.968295045708508e-36
2121.6,16.1,0.249,6.115,0.012,3.366690196971093e-08,1.0214602861513498e-09,7.883617717188761e-34,7.973015967385753e-36
2217.5,16.5,0.249,6.84,0.012,3.156164655109918e-08,9.43657907120352e-10,8.055145527777496e-34,8.027994523865813e-36
2326.1,17.1,0.249,8.103,0.013,3.0878340167449675e-08,9.09490721372312e-10,8.114129958599836e-34,7.966453582388444e-36
