Time,Value,Value_2ND, ,DateTime : ( 24 / 02 / 14 -- 14 : 35 : 29 )
"14 : 25 : 11",17.81937780000000, 
"14 : 25 : 12",17.81912230000000, 
"14 : 25 : 13",17.81894870000000, 
"14 : 25 : 14",17.81917760000000, 
"14 : 25 : 15",17.81874080000000, 
"14 : 25 : 16",17.81873510000000, 
"14 : 25 : 17",17.81914320000000, 
"14 : 25 : 18",17.81892580000000, 
"14 : 25 : 19",17.81891050000000, 
"14 : 25 : 20",17.81908030000000, 
"14 : 25 : 21",17.81916420000000, 
"14 : 25 : 22",17.81875220000000, 
"14 : 25 : 23",17.81883810000000, 
"14 : 25 : 24",17.81862640000000, 
"14 : 25 : 25",17.81917760000000, 
"14 : 25 : 26",17.81921570000000, 
"14 : 25 : 27",17.81964870000000, 
"14 : 25 : 28",17.81909170000000, 
"14 : 25 : 29",17.81842990000000, 
"14 : 25 : 30",17.81879040000000, 
"14 : 25 : 31",17.81863020000000, 
"14 : 25 : 32",17.81860920000000, 
"14 : 25 : 33",17.81904790000000, 
"14 : 25 : 34",17.81863400000000, 
"14 : 25 : 35",17.81884000000000, 
"14 : 25 : 36",17.81882660000000, 
"14 : 25 : 37",17.81897730000000, 
"14 : 25 : 38",17.81903450000000, 
"14 : 25 : 39",17.81909940000000, 
"14 : 25 : 40",17.81883810000000, 
"14 : 25 : 41",17.81909750000000, 
"14 : 25 : 42",17.81935690000000, 
"14 : 25 : 43",17.81862830000000, 
"14 : 25 : 44",17.81891050000000, 
"14 : 25 : 45",17.81873130000000, 
"14 : 25 : 46",17.81844320000000, 
"14 : 25 : 47",17.81836890000000, 
"14 : 25 : 48",17.81864920000000, 
"14 : 25 : 49",17.81850810000000, 
"14 : 25 : 50",17.81781380000000, 
"14 : 25 : 51",17.81883430000000, 
"14 : 25 : 52",17.81892010000000, 
"14 : 25 : 53",17.81818770000000, 
"14 : 25 : 54",17.81878660000000, 
"14 : 25 : 55",17.81867020000000, 
"14 : 25 : 56",17.81856530000000, 
"14 : 25 : 57",17.81854430000000, 
"14 : 25 : 58",17.81856720000000, 
"14 : 25 : 59",17.81837460000000, 
"14 : 26 : 00",17.81863210000000, 
"14 : 26 : 01",17.81870650000000, 
"14 : 26 : 02",17.81820100000000, 
"14 : 26 : 03",17.81834220000000, 
"14 : 26 : 04",17.81834030000000, 
"14 : 26 : 05",17.81870650000000, 
"14 : 26 : 06",17.81859970000000, 
"14 : 26 : 07",17.81906120000000, 
"14 : 26 : 08",17.81867590000000, 
"14 : 26 : 09",17.81859770000000, 
"14 : 26 : 10",17.81823530000000, 
"14 : 26 : 11",17.81866640000000, 
"14 : 26 : 12",17.81822770000000, 
"14 : 26 : 13",17.81807700000000, 
"14 : 26 : 14",17.81843370000000, 
"14 : 26 : 15",17.81833830000000, 
"14 : 26 : 16",17.81877510000000, 
"14 : 26 : 17",17.81805990000000, 
"14 : 26 : 18",17.81786530000000, 
"14 : 26 : 19",17.81819530000000, 
"14 : 26 : 20",17.81876750000000, 
"14 : 26 : 21",17.81742470000000, 
"14 : 26 : 22",17.81772040000000, 
"14 : 26 : 23",17.81814380000000, 
"14 : 26 : 24",17.81822770000000, 
"14 : 26 : 25",17.81808280000000, 
"14 : 26 : 26",17.81814570000000, 
"14 : 26 : 27",17.81811710000000, 
"14 : 26 : 28",17.81822390000000, 
"14 : 26 : 29",17.81821060000000, 
"14 : 26 : 30",17.81682010000000, 
"14 : 26 : 31",17.81739040000000, 
"14 : 26 : 32",17.81825060000000, 
"14 : 26 : 33",17.81759450000000, 
"14 : 26 : 34",17.81891820000000, 
"14 : 26 : 35",17.81935110000000, 
"14 : 26 : 36",17.81787100000000, 
"14 : 26 : 37",17.81782530000000, 
"14 : 26 : 38",17.81806180000000, 
"14 : 26 : 39",17.81808660000000, 
"14 : 26 : 40",17.81875410000000, 
"14 : 26 : 41",17.81750480000000, 
"14 : 26 : 42",17.81680290000000, 
"14 : 26 : 43",17.81751060000000, 
"14 : 26 : 44",17.81883810000000, 
"14 : 26 : 45",17.81871980000000, 
"14 : 26 : 46",17.81910700000000, 
"14 : 26 : 47",17.81849090000000, 
"14 : 26 : 48",17.81904980000000, 
"14 : 26 : 49",17.81778140000000, 
"14 : 26 : 50",17.81809610000000, 
"14 : 26 : 51",17.82004920000000, 
"14 : 26 : 52",17.81816290000000, 
"14 : 26 : 53",17.81876180000000, 
"14 : 26 : 54",17.81752010000000, 
"14 : 26 : 55",17.81792640000000, 
"14 : 26 : 56",17.81800070000000, 
"14 : 26 : 57",17.81830590000000, 
"14 : 26 : 58",17.82062330000000, 
"14 : 26 : 59",17.81743620000000, 
"14 : 27 : 00",17.81768980000000, 
"14 : 27 : 01",17.81963150000000, 
"14 : 27 : 02",17.81800650000000, 
"14 : 27 : 03",17.81754490000000, 
"14 : 27 : 04",17.81697650000000, 
"14 : 27 : 05",17.81686970000000, 
"14 : 27 : 06",17.81684680000000, 
"14 : 27 : 07",17.81325910000000, 
"14 : 27 : 08",17.81569480000000, 
"14 : 27 : 09",17.81786530000000, 
"14 : 27 : 10",17.81759640000000, 
"14 : 27 : 12",17.81677050000000, 
"14 : 27 : 12",17.81741520000000, 
"14 : 27 : 13",17.81647300000000, 
"14 : 27 : 14",17.81680480000000, 
"14 : 27 : 15",17.81688110000000, 
"14 : 27 : 16",17.81583020000000, 
"14 : 27 : 17",17.81644820000000, 
"14 : 27 : 18",17.81663890000000, 
"14 : 27 : 19",17.81673040000000, 
"14 : 27 : 20",17.81662550000000, 
"14 : 27 : 21",17.81666560000000, 
